id,title,genre,image_path,placeholder_auto,placeholder_text,found_phrases,design,face,face_position,text_density,edge_density,negative_space,colors,color_contrast,warm_cold_balance,monochrome
0,Цветы пиона на снегу. Том 3 + Плакат,Фэнтези,backend/data/images/0.jpg,False,False,,сбалансированная,False,no_face,0.766,0.144,0.856,"[[174, 158, 165], [237, 236, 237], [93, 78, 91]]",61.23,3.67,False
1,"Система ""Спаси-Себя-Сам"" для Главного Злодея. Том 2. (книга+тату+открытка+кардхолдер)",Фэнтези,backend/data/images/1.jpg,False,False,,сбалансированная,False,no_face,0.994,0.124,0.876,"[[193, 171, 139], [63, 49, 55], [124, 120, 94]]",48.21,30.67,False
2,Магистр дьявольского культа. Том 5,Фэнтези,backend/data/images/2.jpg,False,False,,сбалансированная,True,center,0.828,0.107,0.893,"[[59, 63, 42], [212, 211, 219], [137, 139, 112]]",65.72,11.67,False
3,Во главе кошмаров. Коллекционное издание,Фэнтези,backend/data/images/3.jpg,False,False,,сбалансированная,False,no_face,0.606,0.096,0.904,"[[250, 251, 251], [11, 14, 12], [123, 138, 131]]",97.37,-3.33,False
4,Лисы округа Хансон,Фэнтези,backend/data/images/4.jpg,False,False,,сбалансированная,False,no_face,0.946,0.153,0.847,"[[51, 50, 81], [218, 190, 227], [150, 96, 180]]",66.05,-23.0,False
5,Охотясь на Аделин. Специальное издание,Любовные романы,backend/data/images/5.jpg,False,False,,сбалансированная,False,no_face,0.994,0.098,0.902,"[[26, 23, 22], [181, 179, 177], [95, 59, 57]]",65.87,15.33,False
6,Озаренный Солнцем,Фэнтези,backend/data/images/6.jpg,False,False,,перегруженная,False,no_face,0.994,0.148,0.852,"[[159, 30, 22], [26, 8, 5], [206, 158, 32]]",74.15,110.67,False
7,Злодейский путь!.. Том 5,Фэнтези,backend/data/images/7.jpg,False,False,,минималистичная,False,no_face,0.0,0.036,0.964,"[[254, 254, 254], [205, 205, 205], [231, 231, 231]]",20.02,0.0,False
8,Солнце волка,Фэнтези,backend/data/images/8.jpg,False,False,,сбалансированная,True,center,0.693,0.088,0.912,"[[39, 37, 38], [251, 251, 248], [115, 107, 99]]",88.37,6.67,False
9,Город Полумесяца. Дом Пламени и Тени (+ доп. история),Фэнтези,backend/data/images/9.jpg,False,False,,перегруженная,True,center,0.994,0.222,0.778,"[[60, 32, 15], [212, 187, 141], [157, 104, 38]]",68.41,78.33,False
10,Повелитель тайн. Книга 2,Фэнтези,backend/data/images/10.jpg,False,False,,перегруженная,False,no_face,0.994,0.185,0.815,"[[91, 78, 74], [35, 34, 35], [188, 155, 119]]",51.92,28.67,False
11,Принц Эльфхейма. Украденный наследник (#1),Фэнтези,backend/data/images/11.jpg,False,False,,сбалансированная,False,no_face,0.404,0.164,0.836,"[[251, 250, 245], [68, 57, 31], [172, 162, 128]]",81.55,29.0,False
12,Железное пламя (обрез с узором),Фэнтези,backend/data/images/12.jpg,False,False,,сбалансированная,False,no_face,0.523,0.12,0.88,"[[206, 136, 85], [251, 249, 244], [42, 21, 17]]",95.04,51.0,False
13,Система Спаси-Себя-Сам для Главного Злодея. Том 2,Фэнтези,backend/data/images/13.jpg,False,False,,сбалансированная,False,no_face,0.994,0.124,0.876,"[[193, 171, 139], [63, 49, 55], [124, 120, 94]]",48.21,30.67,False
14,Лови момент,Любовные романы,backend/data/images/14.jpg,False,False,,сбалансированная,False,no_face,0.965,0.12,0.88,"[[237, 193, 189], [208, 120, 131], [105, 59, 69]]",59.87,53.67,False
15,Спасти 6-го,Любовные романы,backend/data/images/15.jpg,False,False,,перегруженная,False,no_face,0.994,0.247,0.753,"[[61, 5, 17], [218, 171, 188], [187, 60, 102]]",76.01,53.0,False
16,Как поймать монстра. Круг второй,Книги,backend/data/images/16.jpg,False,False,,минималистичная,False,no_face,0.0,0.036,0.964,"[[254, 254, 254], [205, 205, 205], [231, 231, 231]]",20.02,0.0,False
17,Легенда о Чжаояо. Книга 2,Фэнтези,backend/data/images/17.jpg,False,False,,сбалансированная,False,no_face,0.468,0.117,0.883,"[[158, 168, 188], [71, 65, 82], [218, 226, 235]]",64.23,-19.33,False
18,"Вероломство друга, величие врага",Фэнтези,backend/data/images/18.jpg,False,False,,перегруженная,False,no_face,0.992,0.173,0.827,"[[230, 196, 154], [53, 43, 51], [130, 99, 89]]",62.87,39.67,False
19,Убийства и кексики. Детективное агентство «Благотворительный магазин» (#1),Детективный роман. Триллер,backend/data/images/19.jpg,False,False,,перегруженная,False,no_face,0.984,0.186,0.814,"[[58, 45, 24], [162, 185, 154], [177, 120, 65]]",58.88,51.33,False
20,Демон из Пустоши. Колдун Российской империи,Детективный роман. Триллер,backend/data/images/20.jpg,False,False,,сбалансированная,True,top,0.994,0.127,0.873,"[[137, 133, 124], [44, 29, 22], [194, 192, 176]]",64.84,17.67,False
21,Мой темный Ромео,Любовные романы,backend/data/images/21.jpg,False,False,,сбалансированная,False,no_face,0.861,0.122,0.878,"[[208, 192, 184], [108, 62, 63], [161, 127, 120]]",50.74,36.67,False
22,Клятвы мертвых птиц (коллекционное издание),Фэнтези,backend/data/images/22.jpg,False,False,,сбалансированная,True,top,0.994,0.128,0.872,"[[92, 87, 142], [44, 41, 69], [179, 152, 173]]",50.72,-23.0,False
23,Драфт,Любовные романы,backend/data/images/23.jpg,False,False,,сбалансированная,True,center,0.994,0.064,0.936,"[[206, 195, 199], [17, 146, 136], [111, 197, 197]]",58.76,-66.0,False
24,Колесо Времени. Книга 13: Башни Полуночи: роман,Фэнтези,backend/data/images/24.jpg,False,False,,сбалансированная,False,no_face,0.994,0.133,0.867,"[[48, 14, 11], [115, 87, 67], [195, 169, 122]]",60.73,52.67,False
25,Безмолвное чтение. Том 1. Жюльен (лимитированное издание),Фэнтези,backend/data/images/25.jpg,False,False,,сбалансированная,False,no_face,0.994,0.131,0.869,"[[94, 100, 112], [25, 21, 36], [167, 187, 196]]",64.34,-19.33,False
26,Скрижаль Исет. Последний суд,Фэнтези,backend/data/images/26.jpg,False,False,,сбалансированная,False,no_face,0.994,0.134,0.866,"[[17, 146, 191], [27, 61, 80], [171, 195, 191]]",69.38,-82.33,False
27,Шолох. Витражи лесной столицы,Фэнтези,backend/data/images/27.jpg,False,False,,сбалансированная,False,no_face,0.818,0.161,0.839,"[[38, 43, 44], [110, 115, 108], [215, 220, 215]]",72.0,-1.33,False
28,Небесная собака. Спасение души несчастного. Том 2,Фэнтези,backend/data/images/28.jpg,False,False,,сбалансированная,False,no_face,0.664,0.145,0.855,"[[172, 138, 108], [49, 50, 49], [235, 206, 172]]",66.99,42.33,False
29,Безупречный (переиздание),Книги,backend/data/images/29.jpg,False,False,,сбалансированная,False,no_face,0.966,0.064,0.936,"[[205, 171, 149], [79, 41, 27], [159, 111, 96]]",56.98,57.0,False
30,Разрушительная ненависть,Любовные романы,backend/data/images/30.jpg,False,False,,минималистичная,False,no_face,0.281,0.055,0.945,"[[253, 248, 246], [246, 176, 166], [150, 47, 37]]",80.02,66.67,False
31,Короны Ниаксии. Змейка и крылья ночи. Книга первая из дилогии о ночерожденных,Фэнтези,backend/data/images/31.jpg,False,False,,сбалансированная,True,bottom,0.628,0.158,0.842,"[[228, 230, 231], [144, 157, 156], [44, 65, 61]]",71.04,-10.67,False
32,Железное пламя,Фэнтези,backend/data/images/32.jpg,False,False,,сбалансированная,False,no_face,0.631,0.101,0.899,"[[216, 138, 81], [45, 21, 16], [253, 249, 240]]",95.73,59.0,False
33,Синий шепот. Книга 2,Фэнтези,backend/data/images/33.jpg,False,False,,сбалансированная,False,no_face,0.927,0.124,0.876,"[[104, 153, 197], [198, 212, 237], [48, 84, 122]]",61.09,-68.67,False
34,Безмолвное чтение. Том 1. Жюльен,Детективный роман. Триллер,backend/data/images/34.jpg,False,False,,сбалансированная,False,no_face,0.994,0.132,0.868,"[[92, 99, 110], [24, 21, 35], [165, 186, 194]]",63.93,-19.33,False
35,"Комплект ""Безмолвное чтение. Том 1"" и ""Красное и Чёрное""",Детективный роман. Триллер,backend/data/images/35.jpg,False,False,,сбалансированная,False,no_face,0.613,0.143,0.857,"[[220, 218, 217], [35, 17, 31], [149, 102, 106]]",78.95,16.67,False
36,Два капитана,Классическая проза,backend/data/images/36.jpg,False,False,,сбалансированная,False,no_face,0.947,0.083,0.917,"[[191, 188, 178], [106, 121, 116], [36, 56, 66]]",55.03,-9.0,False
37,Золотые земли. Трилогия. Коллекционное издание с коробом,Фэнтези,backend/data/images/37.jpg,False,False,,сбалансированная,False,no_face,0.991,0.127,0.873,"[[76, 75, 67], [32, 10, 13], [165, 165, 151]]",58.94,14.0,False
38,Четвертое крыло: роман,Фэнтези,backend/data/images/38.jpg,False,False,,минималистичная,False,no_face,0.418,0.091,0.909,"[[203, 176, 120], [253, 251, 242], [29, 25, 15]]",95.46,36.0,False
39,После бури,Современная проза,backend/data/images/39.jpg,False,False,,сбалансированная,False,no_face,0.864,0.082,0.918,"[[30, 51, 66], [246, 250, 251], [97, 155, 122]]",84.03,-22.0,False
40,Когда молчит море. Наследная Царевна,Фэнтези,backend/data/images/40.jpg,False,False,,сбалансированная,True,top,0.927,0.146,0.854,"[[36, 44, 51], [179, 201, 215], [99, 125, 141]]",64.6,-31.0,False
41,Король Ардена,Фэнтези,backend/data/images/41.jpg,False,False,,сбалансированная,True,center,0.994,0.109,0.891,"[[104, 63, 69], [210, 173, 168], [37, 14, 25]]",67.69,29.67,False
42,Белая рыба. Сказания о Бай и Ю. Северное море,Фэнтези,backend/data/images/42.jpg,False,False,,сбалансированная,False,no_face,0.578,0.104,0.896,"[[252, 250, 249], [151, 123, 137], [247, 199, 22]]",74.97,80.67,False
43,Мара и Морок. Трилогия,Фэнтези,backend/data/images/43.jpg,False,False,,сбалансированная,False,no_face,0.994,0.101,0.899,"[[125, 137, 143], [51, 25, 31], [212, 217, 221]]",74.44,-2.33,False
44,Стальная принцесса,Любовные романы,backend/data/images/44.jpg,False,False,,перегруженная,False,no_face,0.993,0.176,0.824,"[[33, 13, 22], [195, 154, 172], [114, 62, 86]]",63.98,20.67,False
45,Погребенные. Легенда о Маат,Фэнтези,backend/data/images/45.jpg,False,False,,сбалансированная,False,no_face,0.994,0.047,0.953,"[[130, 39, 49], [60, 23, 31], [212, 157, 122]]",62.48,66.67,False
46,Благословение небожителей. Том 6,Фэнтези,backend/data/images/46.jpg,False,False,,сбалансированная,False,no_face,0.968,0.142,0.858,"[[42, 18, 16], [234, 217, 188], [165, 117, 93]]",79.64,48.0,False
47,Ночь дракона,Современная проза,backend/data/images/47.jpg,False,False,,перегруженная,False,no_face,0.994,0.153,0.847,"[[201, 192, 215], [44, 34, 75], [94, 75, 138]]",65.81,-29.67,False
48,Треки смерти,Детективный роман. Триллер,backend/data/images/48.jpg,False,False,,сбалансированная,False,no_face,0.989,0.073,0.927,"[[35, 37, 48], [160, 117, 131], [239, 220, 212]]",76.07,14.33,False
49,Когда король падет,Фэнтези,backend/data/images/49.jpg,False,False,,сбалансированная,False,no_face,0.994,0.068,0.932,"[[9, 6, 7], [92, 86, 81], [208, 192, 154]]",73.76,22.33,False
50,Злодейский путь!.. Том 4,Фэнтези,backend/data/images/50.jpg,False,False,,сбалансированная,False,no_face,0.564,0.129,0.871,"[[157, 151, 151], [218, 214, 215], [119, 57, 64]]",57.74,21.33,False
51,Янтарь рассеивает тьму. Асдэм,Фэнтези,backend/data/images/51.jpg,False,False,,перегруженная,False,no_face,0.994,0.166,0.834,"[[173, 163, 171], [58, 30, 39], [85, 60, 102]]",54.28,1.33,False
52,Невместе,Любовные романы,backend/data/images/52.jpg,False,False,,сбалансированная,False,no_face,0.862,0.097,0.903,"[[180, 214, 217], [139, 78, 90], [13, 134, 150]]",62.71,-41.67,False
53,Красавицы Бостона. Распутник,Любовные романы,backend/data/images/53.jpg,False,False,,минималистичная,False,no_face,0.316,0.064,0.936,"[[232, 234, 230], [126, 63, 96], [202, 180, 180]]",59.26,18.0,False
54,Раша,Научная фантастика,backend/data/images/54.jpg,False,False,,сбалансированная,False,no_face,0.994,0.072,0.928,"[[10, 9, 8], [113, 59, 42], [209, 203, 200]]",83.2,27.33,False
55,Красные моря под красными небесами,Фэнтези,backend/data/images/55.jpg,False,False,,сбалансированная,False,no_face,0.994,0.117,0.883,"[[188, 40, 16], [237, 151, 78], [87, 9, 6]]",79.36,137.33,False
56,Имя ей Хель (книга+стикерпак),Фэнтези,backend/data/images/56.jpg,False,False,,перегруженная,True,top,0.993,0.162,0.838,"[[28, 26, 58], [175, 163, 186], [102, 86, 119]]",57.51,-19.33,False
57,Магистр дьявольского культа. Том 2,Фэнтези,backend/data/images/57.jpg,False,False,,сбалансированная,False,no_face,0.976,0.146,0.854,"[[164, 143, 130], [209, 194, 190], [105, 77, 74]]",47.54,28.0,False
58,Джанга с тенями. Коллекционное издание,Фэнтези,backend/data/images/58.jpg,False,False,,сбалансированная,False,no_face,0.994,0.053,0.947,"[[26, 30, 31], [209, 200, 195], [68, 74, 78]]",73.19,-0.33,False
59,Юми и укротитель кошмаров: роман,Фэнтези,backend/data/images/59.jpg,False,False,,сбалансированная,False,no_face,0.994,0.14,0.86,"[[8, 37, 59], [185, 166, 73], [75, 80, 97]]",53.6,13.0,False
60,Охотясь на Аделин,Любовные романы,backend/data/images/60.jpg,False,False,,сбалансированная,False,no_face,0.994,0.09,0.91,"[[26, 23, 21], [181, 177, 175], [77, 64, 61]]",65.07,9.0,False
61,Баллада о нефритовой кости. Книга 2,Фэнтези,backend/data/images/61.jpg,False,False,,минималистичная,True,center,0.36,0.127,0.873,"[[248, 248, 249], [91, 82, 79], [180, 180, 183]]",67.52,2.67,False
62,Планы на лето,Любовные романы,backend/data/images/62.jpg,False,False,,сбалансированная,False,no_face,0.985,0.123,0.877,"[[206, 164, 191], [115, 75, 67], [250, 240, 241]]",67.27,24.0,False
63,Дюна,Научная фантастика,backend/data/images/63.jpg,False,False,,сбалансированная,False,no_face,0.939,0.021,0.979,"[[183, 113, 58], [27, 13, 9], [233, 189, 105]]",78.55,90.33,False
64,Шарм,Фэнтези,backend/data/images/64.jpg,False,False,,сбалансированная,False,no_face,0.994,0.039,0.961,"[[173, 185, 214], [76, 51, 59], [225, 224, 230]]",71.54,-9.67,False
65,Странные игры,Детективный роман. Триллер,backend/data/images/65.jpg,False,False,,перегруженная,False,no_face,0.986,0.183,0.817,"[[179, 199, 193], [28, 41, 48], [86, 111, 123]]",62.9,-23.67,False
66,Тайный архив Корсакова. Оккультный детектив,Детективный роман. Триллер,backend/data/images/66.jpg,False,False,,сбалансированная,False,no_face,0.887,0.122,0.878,"[[129, 135, 125], [25, 25, 25], [209, 205, 175]]",71.1,12.67,False
67,Магистр дьявольского культа. Том 1,Фэнтези,backend/data/images/67.jpg,False,False,,перегруженная,False,no_face,0.991,0.17,0.83,"[[93, 82, 92], [213, 207, 219], [161, 149, 161]]",50.97,-1.67,False
68,От первого лица: сборник рассказов,Современная проза,backend/data/images/68.jpg,False,False,,минималистичная,False,no_face,0.207,0.141,0.859,"[[240, 234, 214], [27, 22, 16], [160, 142, 70]]",87.98,42.33,False
69,Тысячи осеней. Том 1,Фэнтези,backend/data/images/69.jpg,False,False,,перегруженная,False,no_face,0.907,0.19,0.81,"[[210, 170, 90], [113, 88, 60], [216, 217, 191]]",59.1,66.0,False
70,Имя ей Хель,Фэнтези,backend/data/images/70.jpg,False,False,,перегруженная,True,top,0.993,0.162,0.838,"[[28, 26, 58], [175, 163, 186], [102, 86, 119]]",57.51,-19.33,False
71,Ныряя в синеву небес. Том 2,Фэнтези,backend/data/images/71.jpg,False,False,,минималистичная,False,no_face,0.0,0.036,0.964,"[[254, 254, 254], [205, 205, 205], [231, 231, 231]]",20.02,0.0,False
72,Ныряя в синеву небес. Том 1,Фэнтези,backend/data/images/72.jpg,False,False,,минималистичная,False,no_face,0.0,0.036,0.964,"[[254, 254, 254], [205, 205, 205], [231, 231, 231]]",20.02,0.0,False
73,В Питере НЕжить,Фэнтези,backend/data/images/73.jpg,False,False,,перегруженная,True,center,0.98,0.175,0.825,"[[245, 190, 26], [60, 55, 39], [241, 224, 116]]",86.75,121.67,False
74,Проступок аббата Муре. Страница любви,Классическая проза,backend/data/images/74.jpg,False,False,,перегруженная,False,no_face,0.99,0.183,0.817,"[[45, 39, 22], [203, 188, 152], [118, 112, 61]]",62.98,43.67,False
75,Хитрости Локка Ламоры,Фэнтези,backend/data/images/75.jpg,False,False,,сбалансированная,False,no_face,0.967,0.14,0.86,"[[105, 96, 97], [175, 184, 186], [37, 32, 37]]",60.02,-1.0,False
76,Песнь Сорокопута. Ренессанс (коллекционное издание),Фэнтези,backend/data/images/76.jpg,False,False,,сбалансированная,False,no_face,0.994,0.12,0.88,"[[185, 145, 116], [14, 11, 9], [112, 81, 64]]",59.58,40.67,False
77,Шолох. Тень разрастается,Фэнтези,backend/data/images/77.jpg,False,False,,перегруженная,False,no_face,0.994,0.161,0.839,"[[22, 123, 125], [133, 191, 185], [22, 47, 58]]",61.9,-63.67,False
78,Алая вуаль,Книги,backend/data/images/78.jpg,False,False,,сбалансированная,False,no_face,0.994,0.076,0.924,"[[24, 5, 8], [196, 110, 118], [111, 19, 30]]",63.1,58.33,False
79,Двойной латте в дождливый день (#1),Любовные романы,backend/data/images/79.jpg,False,False,,сбалансированная,False,no_face,0.795,0.128,0.872,"[[216, 197, 199], [83, 46, 45], [176, 129, 124]]",62.42,35.67,False
80,Братья Хоторны,Детективный роман. Триллер,backend/data/images/80.jpg,False,False,,сбалансированная,False,no_face,0.898,0.081,0.919,"[[153, 140, 132], [62, 35, 94], [222, 216, 214]]",64.49,-1.0,False
81,Во главе кошмаров,Фэнтези,backend/data/images/81.jpg,False,False,,сбалансированная,True,top,0.982,0.119,0.881,"[[201, 206, 202], [39, 43, 51], [123, 146, 150]]",65.65,-13.33,False
82,Магистр дьявольского культа. Том 3,Фэнтези,backend/data/images/82.jpg,False,False,,сбалансированная,False,no_face,0.992,0.12,0.88,"[[150, 127, 136], [214, 201, 214], [84, 69, 75]]",55.12,7.67,False
83,Благословение небожителей. Том 5,Фэнтези,backend/data/images/83.jpg,False,False,,сбалансированная,False,no_face,0.555,0.147,0.853,"[[184, 157, 156], [92, 45, 40], [241, 235, 234]]",74.66,29.0,False
84,Граф Аверин. Колдун Российской империи,Детективный роман. Триллер,backend/data/images/84.jpg,False,False,,сбалансированная,True,top,0.992,0.104,0.896,"[[190, 182, 155], [46, 34, 27], [111, 91, 74]]",58.99,30.33,False
85,Удержать 13-го,Любовные романы,backend/data/images/85.jpg,False,False,,сбалансированная,False,no_face,0.994,0.131,0.869,"[[30, 25, 64], [83, 92, 163], [184, 202, 233]]",72.92,-54.33,False
86,Императорский Див. Колдун Российской империи,Детективный роман. Триллер,backend/data/images/86.jpg,False,False,,сбалансированная,False,no_face,0.839,0.099,0.901,"[[150, 151, 144], [55, 57, 56], [205, 211, 204]]",62.08,2.0,False
87,Серебряный змей в корнях сосны - 3,Фэнтези,backend/data/images/87.jpg,False,False,,сбалансированная,True,center,0.994,0.128,0.872,"[[42, 24, 35], [215, 189, 196], [111, 98, 108]]",68.61,9.67,False
88,Преследуя Аделин. Специальное издание,Любовные романы,backend/data/images/88.jpg,False,False,,перегруженная,False,no_face,0.994,0.146,0.854,"[[25, 25, 24], [78, 76, 75], [151, 151, 150]]",51.72,1.67,False
89,Магистр дьявольского культа. Том 4,Фэнтези,backend/data/images/89.jpg,False,False,,сбалансированная,True,bottom,0.99,0.117,0.883,"[[68, 67, 71], [125, 120, 119], [179, 178, 183]]",45.53,-0.33,False
90,Ледяная фантазия,Фэнтези,backend/data/images/90.jpg,False,False,,перегруженная,False,no_face,0.968,0.168,0.832,"[[37, 52, 70], [203, 217, 234], [115, 137, 173]]",69.65,-40.67,False
91,Завет воды: Роман,Современная проза,backend/data/images/91.jpg,False,False,,перегруженная,False,no_face,0.974,0.202,0.798,"[[34, 23, 14], [134, 82, 58], [217, 181, 120]]",67.84,64.33,False
92,Новая весна,Фэнтези,backend/data/images/92.jpg,False,False,,сбалансированная,False,no_face,0.994,0.102,0.898,"[[23, 30, 31], [181, 180, 147], [64, 86, 74]]",59.76,5.33,False
93,Человек недостойный,Классическая проза,backend/data/images/93.jpg,False,False,,сбалансированная,True,top,0.67,0.089,0.911,"[[242, 212, 174], [21, 9, 11], [88, 47, 52]]",85.42,38.0,False
94,Миля над землей,Любовные романы,backend/data/images/94.jpg,False,False,,сбалансированная,False,no_face,0.994,0.135,0.865,"[[139, 171, 197], [44, 43, 49], [15, 116, 169]]",64.11,-72.33,False
95,Ноттингем,Любовные романы,backend/data/images/95.jpg,False,False,,сбалансированная,False,no_face,0.942,0.089,0.911,"[[223, 179, 182], [45, 27, 61], [155, 110, 123]]",64.08,19.0,False
96,"Три жизни, три мира. Десять ли персиковых цветков",Фэнтези,backend/data/images/96.jpg,False,False,,сбалансированная,False,no_face,0.988,0.053,0.947,"[[207, 153, 148], [156, 68, 80], [163, 160, 164]]",40.96,44.67,False
97,Бесконечное Лето: Первая смена,Любовные романы,backend/data/images/97.jpg,False,False,,перегруженная,False,no_face,0.972,0.176,0.824,"[[214, 215, 198], [63, 69, 69], [136, 151, 138]]",58.32,2.67,False
98,Секрет льда,Любовные романы,backend/data/images/98.jpg,False,False,,сбалансированная,False,no_face,0.994,0.104,0.896,"[[141, 120, 139], [49, 41, 52], [225, 214, 210]]",69.36,4.67,False
99,Секрет за секрет,Любовные романы,backend/data/images/99.jpg,False,False,,минималистичная,True,center,0.396,0.112,0.888,"[[198, 186, 185], [88, 70, 95], [234, 233, 235]]",63.16,1.67,False
